player_id,W,L,SV,ERA,G,GS,IP,HA,R,ER,HR,BB,K,WHIP,OAVG,BABIP,BF,FIP,K/9,BB/9,HR/9
34631,3,0,3,4.74,34,0,87.3,72,56,46,21,39,114,1.27,0.216,0.256,373.0,5.06,11.8,4.0,2.2
34693,4,17,0,7.27,30,30,137.3,176,115,111,22,66,107,1.76,0.299,0.336,654.0,5.17,7.0,4.3,1.4
34727,8,9,0,6.34,35,35,171.7,212,135,121,22,59,173,1.58,0.292,0.357,786.0,3.88,9.1,3.1,1.2
34788,0,2,0,3.98,44,0,74.7,66,36,33,8,37,101,1.38,0.228,0.32,327.0,3.37,12.2,4.5,1.0
34872,7,15,0,3.96,33,33,207.0,191,96,91,22,55,192,1.19,0.235,0.283,867.0,3.52,8.3,2.4,1.0
34994,6,6,34,4.91,62,0,58.7,48,33,32,1,49,84,1.65,0.214,0.338,273.0,3.06,12.9,7.5,0.2
35076,10,8,0,3.59,32,32,190.3,171,84,76,14,86,204,1.35,0.23,0.3,828.0,3.37,9.6,4.1,0.7
35274,4,4,2,2.71,52,0,83.0,68,25,25,11,32,94,1.2,0.215,0.269,349.0,3.81,10.2,3.5,1.2
35291,8,4,2,2.73,69,0,95.7,65,31,29,10,27,88,0.96,0.185,0.217,379.0,3.57,8.3,2.5,0.9
35318,2,0,1,3.59,32,0,67.7,56,30,27,5,40,74,1.42,0.216,0.283,299.0,3.75,9.8,5.3,0.7
35365,18,7,0,4.26,34,34,200.7,176,101,95,26,76,181,1.26,0.226,0.263,854.0,4.22,8.1,3.4,1.2
35408,6,2,1,3.82,43,0,63.7,56,28,27,6,25,72,1.27,0.227,0.296,272.0,3.34,10.2,3.5,0.8
35412,11,6,0,5.29,31,31,190.7,220,117,112,18,62,171,1.48,0.278,0.335,854.0,3.61,8.1,2.9,0.8
35431,11,15,0,3.87,37,37,216.3,215,107,93,17,63,184,1.29,0.249,0.299,927.0,3.39,7.7,2.6,0.7
35441,3,1,0,6.27,35,0,51.7,73,37,36,6,8,65,1.57,0.32,0.427,236.0,2.66,11.3,1.4,1.0
35472,1,1,2,4.34,30,0,64.3,67,31,31,6,39,67,1.65,0.258,0.326,299.0,4.15,9.4,5.5,0.8
35496,7,3,4,3.74,48,0,67.3,59,30,28,9,28,86,1.29,0.226,0.301,289.0,3.63,11.5,3.7,1.2
35585,3,5,1,4.61,50,0,68.3,67,40,35,11,33,79,1.46,0.246,0.308,305.0,4.43,10.4,4.3,1.4
35642,9,11,0,5.13,32,32,186.0,200,112,106,33,49,166,1.34,0.264,0.299,807.0,4.51,8.0,2.4,1.6
35807,4,0,0,5.06,37,0,58.7,78,35,33,5,40,63,2.01,0.307,0.392,294.0,4.21,9.7,6.1,0.8
36072,3,0,0,5.4,33,0,78.3,91,53,47,8,39,79,1.66,0.279,0.347,365.0,4.0,9.1,4.5,0.9
36202,4,2,1,3.23,59,0,94.7,77,34,34,8,54,129,1.38,0.213,0.308,415.0,3.28,12.3,5.1,0.8
36235,14,10,0,4.41,33,33,212.3,216,111,104,28,53,214,1.27,0.253,0.308,906.0,3.65,9.1,2.2,1.2
36241,4,2,3,4.39,59,0,84.0,97,46,41,9,47,97,1.71,0.278,0.362,396.0,3.96,10.4,5.0,1.0
36850,11,9,0,4.9,31,31,174.7,159,98,95,25,55,180,1.23,0.233,0.28,738.0,3.94,9.3,2.8,1.3
36853,279,425,0,135.03,991,991,5922.0,6152,3301,3039,716,2089,5244,40.57999999999999,0.257,0.303,26007.0,4.06,8.0,3.2,1.1
36856,20,8,0,3.93,33,33,222.3,233,104,97,25,55,206,1.3,0.259,0.311,955.0,3.55,8.3,2.2,1.0
36859,4,4,9,2.43,53,0,63.0,37,17,17,4,22,79,0.94,0.164,0.231,248.0,2.57,11.3,3.1,0.6
36890,7,2,1,4.52,53,0,97.7,100,50,49,19,31,120,1.34,0.254,0.319,424.0,4.22,11.1,2.9,1.8
36898,20,7,0,2.54,33,33,205.7,156,72,58,20,34,207,0.92,0.202,0.249,807.0,2.95,9.1,1.5,0.9
37216,5,3,37,3.07,59,0,58.7,36,20,20,9,34,112,1.19,0.17,0.297,246.0,3.11,17.2,5.2,1.4
