player_id,G,AB,R,H,2B,3B,HR,RBI,TB,BB,K,SB,CS,AVG,OBP,SLG,OPS,1B,wOBA
32101,161,628,115,191,40,2,36,119,343,84,95,0,0,0.304,0.386,0.546,0.932,113,0.4045
32142,87,287,43,71,9,0,14,46,122,29,92,0,0,0.247,0.316,0.425,0.741,48,0.3275
32163,89,273,31,57,18,1,13,37,116,42,72,0,0,0.209,0.314,0.425,0.739,25,0.3269
32183,154,573,72,138,36,4,20,78,242,56,181,4,4,0.241,0.308,0.422,0.73,78,0.3214
32184,54,201,21,45,7,0,5,26,67,11,62,0,1,0.224,0.264,0.333,0.597,33,0.2655
32307,60,147,23,37,10,2,0,20,51,21,51,4,2,0.252,0.345,0.347,0.692,25,0.3133
32319,153,553,68,150,30,3,12,59,222,66,114,16,8,0.271,0.349,0.401,0.75,105,0.3344
32336,141,475,62,100,20,2,17,55,175,53,145,0,0,0.211,0.29,0.368,0.658,61,0.2938
32339,153,565,90,124,30,3,21,84,223,63,150,1,2,0.219,0.298,0.395,0.693,70,0.3069
32341,155,619,118,197,56,2,22,105,323,87,86,4,3,0.318,0.402,0.522,0.924,117,0.4031
32345,20,58,8,12,1,0,1,3,16,8,17,0,0,0.207,0.303,0.276,0.579,10,0.2693
32379,41,144,19,46,10,1,3,19,67,9,35,0,0,0.319,0.359,0.465,0.824,32,0.3611
32391,4698,17565,2600,4586,786,18,851,2557,7961,2708,4596,10,6,0.261,0.36,0.453,0.813,2931,0.3595
32444,147,537,68,140,35,8,10,54,221,35,125,3,1,0.261,0.306,0.412,0.718,87,0.3144
32448,117,460,53,133,33,2,7,61,191,39,113,0,1,0.289,0.345,0.415,0.76,91,0.3359
32453,141,547,69,124,26,1,18,75,206,39,136,8,5,0.227,0.278,0.377,0.655,79,0.2893
32473,139,500,73,147,24,2,20,78,235,49,111,0,0,0.294,0.357,0.47,0.827,101,0.3629
32496,9,21,5,8,0,0,2,4,14,1,2,0,0,0.381,0.409,0.667,1.076,6,0.4645
32558,154,575,73,150,36,4,10,59,224,19,141,2,1,0.261,0.285,0.39,0.675,100,0.2948
32560,156,606,98,164,37,4,32,91,305,82,90,8,6,0.271,0.358,0.503,0.861,91,0.3752
32587,37,40,8,13,3,0,5,10,31,2,12,2,0,0.325,0.357,0.775,1.132,5,0.4795
32626,150,559,67,148,42,5,13,85,239,60,148,1,0,0.265,0.336,0.428,0.764,88,0.3365
32637,157,644,113,207,46,9,47,130,412,27,138,47,7,0.321,0.349,0.64,0.989,105,0.4227
32640,156,602,94,189,54,3,21,119,312,35,116,0,0,0.314,0.352,0.518,0.87,111,0.3773
32660,52,151,23,38,4,2,0,17,46,6,17,3,2,0.252,0.28,0.305,0.585,32,0.2603
32729,42,171,28,48,11,0,4,11,71,2,37,4,1,0.281,0.289,0.415,0.704,33,0.3068
32773,17,51,5,10,1,1,2,7,19,5,14,0,0,0.196,0.268,0.373,0.641,6,0.2833
32793,125,446,44,100,16,2,16,58,168,35,168,0,1,0.224,0.281,0.377,0.658,66,0.2909
32797,155,596,88,149,29,9,13,61,235,39,179,20,8,0.25,0.296,0.394,0.69,98,0.3034
32803,155,618,90,163,26,9,25,94,282,39,146,7,2,0.264,0.307,0.456,0.763,103,0.3326
32804,158,669,124,191,46,2,28,116,325,92,166,2,0,0.286,0.372,0.486,0.858,115,0.376
32807,82,122,11,27,4,0,0,12,31,11,25,0,0,0.221,0.286,0.254,0.54,23,0.2489
32810,156,600,98,161,50,1,29,94,300,65,138,5,2,0.268,0.34,0.5,0.84,81,0.3652
32812,156,550,111,129,24,0,52,117,309,111,188,3,2,0.235,0.363,0.562,0.925,53,0.3985
32816,30,107,16,25,7,1,6,17,52,7,36,1,0,0.234,0.281,0.486,0.767,11,0.3309
32830,156,557,58,123,20,3,17,66,200,37,158,10,5,0.221,0.269,0.359,0.628,83,0.2781
32834,139,549,103,176,33,0,17,87,260,83,109,0,0,0.321,0.41,0.474,0.884,126,0.3905
32836,116,397,59,109,30,1,9,52,168,51,73,0,0,0.275,0.357,0.423,0.78,69,0.3462
32840,133,529,83,156,38,4,14,78,244,45,120,3,1,0.295,0.35,0.461,0.811,100,0.3554
32867,157,564,68,126,20,2,27,74,231,43,156,3,0,0.223,0.278,0.41,0.688,77,0.3022
32871,154,542,81,163,34,2,11,77,234,37,107,11,4,0.301,0.345,0.432,0.777,116,0.3421
32880,3763,12925,1417,2837,741,93,504,1785,5276,900,4975,6,7,0.219,0.27,0.408,0.678,1499,0.2968
32887,141,497,82,131,27,4,12,78,202,86,132,1,0,0.264,0.372,0.406,0.778,88,0.349
32891,4502,16813,2219,4395,940,62,643,2172,7388,1798,4697,95,35,0.261,0.333,0.439,0.772,2750,0.34
32910,149,544,91,113,19,2,18,64,190,81,180,3,4,0.208,0.31,0.349,0.659,74,0.2989
32913,68,127,23,33,1,1,4,15,48,11,35,3,2,0.26,0.319,0.378,0.697,27,0.3106
32935,130,439,43,93,16,1,14,38,153,30,157,2,2,0.212,0.262,0.349,0.611,62,0.271
32959,157,618,106,148,30,2,26,95,260,102,180,2,4,0.239,0.347,0.421,0.768,90,0.3421
